id;placed_date;status;code;invoice_id;customer
1;2021-12-26T23:33:08;COMPLETED;Georgia calculate withdrawal;88795;one-to-one e-business
2;2021-12-27T04:24:00;CANCELLED;cross-platform Supervisor;47588;Concrete
3;2021-12-27T01:26:45;CANCELLED;Investment Account;79493;revolutionize harness Kyat
4;2021-12-26T22:38:01;COMPLETED;Decentralized Bike;98183;IB Industrial Credit Card Account
5;2021-12-27T06:02:04;CANCELLED;Cotton Egyptian Pound;70149;contingency target
6;2021-12-27T00:27:57;COMPLETED;input Handmade Metal Table;17515;Human
7;2021-12-26T10:01:02;CANCELLED;payment;42230;value-added Cambridgeshire mission-critical
8;2021-12-26T09:05:53;PENDING;connecting hacking Future-proofed;5405;hack green Streamlined
9;2021-12-26T22:39:27;PENDING;back up front-end eco-centric;31482;artificial intelligence card incubate
10;2021-12-26T18:07:08;PENDING;Assistant Papua New Guinea West Virginia;6025;Gloves quantify Rupiah
